Company Name,NAICS ,Layoff Total, Local Area,WARN Date,Layoff Date(s),Temp Layoffs,Perm Layoffs,Furloughs,Reason for Layoff,WARN Letter,Occupations,,,,
Bicycle Village,45,65,"Multiple: A/D, Boulder, Rural Consortium",4/6/2020,4/6/20,65,,,COVID-19 - Temporary Closure,Bicycle Village,Unspecified ,,,,
Bicycle Village,45,1,Rural Resort,5/4/2020,Not available,1,,,COVID - Temporary ,Bicycle Village,1 ADDITIONAL TOTALING 62,,,,
Bluprint (3 locations),54,137,Denver,5/22/2020,7/22/20,,137,,Closure - Permanent,Bluprint,"Various: Photographers, Product Managers, Customer Support, Engineers, Editors and Others",,,,
Breckenridge Ski Resort,71,24,Rural Resort,5/4/2020,Not available,24,,,COVID - Temporary ,Breckenridge Ski Resort,24 ADDITIONAL TOTALING 129,,,,
Breckenridge SSBRK,71,55,Rural Resort,5/4/2020,Not available,55,,,COVID - Temporary ,Breckenridge SSBRK,Not Disclosed,,,,
Brekenridge Ski Resort,71,105,Rural Consortium,4/6/2020,4/6,105,,,COVID-19 - Temporary Closure,Breckenridge Ski,Unspecfiied,,,,
Brown Palance Denver,72,298,Denver,5/21/2020,5/21/20,298,,,COVID-19 Temporary ,Brown Palace,"Various: Cooks, Food Servers, Bussers, Laundry, Banquet Servers, Hostesses and more.",,,,
Calimira dba Rusty Bucket Restraunt & Tavern,72,65,Adams,3/23/20,3/16/20-3/20/20 and 3/21/20-3/31/20,65,,,COVID-19/Temporary Closure,Rusty Bucket,Not disclosed,,,,
Cameron Mitchell Restaurants - AD,72,56,Arapahoe/Douglas,12/8/2020,11/20/20-11/30/20,56,,,COVID Temporary,Cameron Mitchell Restaurants AD,"servers, bartenders, managers, cooks, chefs, home office employees, directors and executives",,,,
Cameron Mitchell Restaurants-Denver,72,70,Denver,12/8/2020,11/20/20-11/30/290,70,,,COVID - Temporary ,Cameron Mitchell Restaurants-Denver,"servers, bartenders, managers, cooks, chefs, home office employees, directors and executives.",,,,
Centerplate Sodexo,42,276,Denver,11/17/2020,12/16/20,276,,,COVID - Temporary ,Centerplate Sodexo,Various,,,,
City of Fort Lupton,92,78,Weld,4/8/2020,4/18/20,,,78,Furlough,Ft Lupton,,,,,
ClearChoice,62,120,ADWorks,3/23/2020,3/23/20,120,,,COVID-19/Temporary Closure,Clear Choice,55 layoffs and 13 furloughs,,,,
Colombo,72,21,Denver DIA,3/26/2020,3/29/20,21,,,COVID-19 - Temporary Closure,Columbo,undisclosed,,,,
Colorado Athletic Club - Boulder,79,186,Boulder,3/30/2020,3/20/20,,,186,Furlough,Colo Athletic Boulder,Not disclosed,,,,
Colorado Athletic Club - DTC,79,115,Arapahoe/Dougless,3/30/2020,3/20/20,,,115,Furlough,Colorado Athletic - DTC,Not disclosed,,,,
Colorado Athletic Club - Flatiron,79,115,Boulder,3/30/2020,3/20/20,,,115,Furlough,Colorado Athletic Flatiron,Not disclosed,,,,
Colorado Athletic Club - Inverness,79,135,Arapahoe/Dougless,3/30/2020,3/20/20,,,135,Furlough,Colorado Athletic Inverness,Not disclosed,,,,
Colorado Athletic Club - Monaco,79,192,Denver,3/30/2020,3/20/20,,,192,Furlough,Colorado Athletic Monaco,Not disclosed,,,,
Colorado Athletic Club - Tabor Center,79,144,Denver,3/30/2020,3/20/20,,,144,Furlough,Colo Athletic Tabor Ctr,Not disclosed,,,,
Colorado Athletic Club - Union Station,79,88,Denver,3/30/2020,3/20/20,,,88,Furlough,Colorado Athletic Union Station,Not disclosed,,,,
Colorado Fitness Holdings ,79,59,Pikes Peak,3/31/2020,3/31/20,,,59,Furlough,Col Fitness Holdings,"Managers, Trainers, Front Desk, Member Sales, Instuctors",,,,
Colorado Mountain Express,48,198,"Multiple: Rural Consortium, Denver",4/6/2020,4/6/20,198,,,COVID-19 - Temporary Closure,CO Mtn Express,Unspecified ,,,,
Colorado Mountain Express,48,13,Rural Resort,5/4/2020,Not available,13,,,COVID - Temporary ,Colorado Mtn Express,Not Disclosed; 13 additional totaling 211,,,,
Colorado Ski & Golf,45,133,"Multiple: A/D, Pikes Peak, Jeffco",4/6/2020,4/6/20,133,,,COID-19 - Temporary Closure,CO Ski & Golf,Unspeficied,,,,
Colorado Ski & Golf,45,10,Rural Resort,5/4/2020,Not available,10,,,COVID - Temporary ,Colorado Ski and Golf,Not Disclosed; 10 additional totaling 143,,,,
Cox Automotive,51,163,Arapahoe/Douglas,5/8/2020,5-17-20,163,,,COVID - Temporary ,Cox Automotive,Not Disclosed,,,,
Curtis Hotel,72,182,Denver,3/27/2020,3/27/20,182,,,COVID-19 - Temporary Closure,Curtis Hotel,"Wait staff, bartenders, parking attendants, cooks, front desk, baristas, bellmen, room attendants",,,,
Curtis Hotel Update,72,136,Denver,7/6/2020,6/5/20 to 6/22/20,,,136,COVID Permanent,Curtis Hotel Update,"Housekeeping, prep cooks, banquet service, baristas, wait staf, bellman,  and more.",,,,
Czarnowski,54,53,Denver,5/15/2020,"5/22/20, 5/26/20, 5/29/20",53,,,COVID-Temporary,Czarnowski,"Various: 3D Designer, Account Mgr, Admin Graphics, Carpenters, Proj Mgr and more",,,,
Czarnowski - Update,54,9,Denver,6/5/2020,"6/10/20, 6/17/20, 6/22/20, 6/26/20", ,,9,Temporary furloughs,Czarnowski - Update,"Various:  3D Designer, Account Manager, Inventory, Carpenter Inventory Control, CNC Operator, Warehouse, Rental",,,,
Czarnowski Update,54,20,Denver,7/15/2020,7/18/20-8/11/20,20,,,COVID Temporary,Czarnowski Update,"Account Managers, Carpenters, Accounting Assitants, CAD, data entry Rental CAD, Rental designer and more",,,,
Dave and Busters Denver,72,136,Denver,9/8/2020,11/8/20,,,136,COVID 19 Permanent,Dave & Busters Denver,Not specified,,,,
Dave and Busters Westminster,72,98,Adams,9/8/2020,11/8/20,,,98,COVID 19 Permanent,Dave & Busters Westminster,Not specified,,,,
Delaware North Company,72,96,Denver,7/28/2020,7/28/20,96,,,COVID Temporary,Delaware North Company,"Various: Bartenders Cocktail Servers, Cooks, Utility workers, Stand Attendants, and more",,,,
Deliverol Global,49,53,Denver,8/10/2020,8/10/20,,,53,Permanent Mass Layoff (Ending Contract),Deliverol Global,"Various: Delivery Associates, Shift and Site Leads",,,,
Dels Diner,72,14,Rural Consortium,3/17/2020,3/17/20,14,,,COVID-19-Temporary Closure,Del's Diner,"cooks, waitresses, management",,,,
Denver Center for Performing Arts,72,151,Denver,5/27/2020,6/1/20,151,,,Mass Layoff -Temporary/Some Permanent,Denver Center for Performing Arts,"Various: Ticket Agents, Stage Hands, Office Managers, Production Electricians and Ohters",,,,
Denver Crown Plaza,72,69,Denver,5/8/2020,3/12/20,,,69,Furloughs,Crown Plaza,"Various: Banquet Servers & Setup, Accounting Clerk, Engineer, Barista, Event Sales, Front Desk and others",,,,
Discovery Natural Resources,21,28,Denver,4/8/2020,4/8/20 - 5/1/20,,,28,Furlough,Discovery ,Not disclosed,,,,
Double Tree by Hilton Update -3203 Quebec,72,103,Denver,7/31/2020,7/31/20,103,,,COVID Temporary,Doubletree 3203 Quebec,Not disclosed,,,,
DoubleTree Colorado Springs,72,177,Pikes Peak,5/15/2020,3/16/20,177,,,COVID-19 Temporary ,Doubletree,"Various: Accounting Personnel, Sales and Event Managers, Operations Managers, Front Line Supervisors, Shuttle drivers",,,,
Doubletree Denver Tech Center,72,87,Arapahoe/Douglas,4/2/2020,3/13/20,87,,,COVID-19 - Temporary Closure,Doubletree DTC,Various: Request WARN for detail.,,,,
Doubletree Denver Tech Center,72,27,Denver,10/20/2020,10/22/20,,27,,COVID-Permanent,Doubletree Denver,Not specified,,,,
Doubletree Grand Junction,72,52,Mesa,4/2/2020,3/13/20,52,,,COVID-19 - Temporary Closure,Doubletree GJ,Various: Request WARN for detail.,,,,
Dynalectric Company,23,2,Boulder,3/27/2020,3/13/20,2,,,COVID 19- Temporary Closure,Dynalectric,undisclosed,,,,
Dynalectric Company,23,1,Denver,4/2/2020,3/30/20,1,,,COVID-19 - Temporary Closure,Dynalectric,Various: Request WARN for detail.,,,,
Dynalectric Company,23,1,Pikes Peak,4/10/2020,4/18/20,,,1,Furlough,Dynalectric,Not Disclosed,,,,
Earls Restaurants USA Inc.,72,134,Denver & Arapahoe/Douglas,3/25/2020,3/25/20,134,,,COVID-19 - Temporary Closure,Earls,"servers, dishwashers, cook, bartender, prep, setter dining & lounge, host +",,,,
