Company Name,NAICS ,Layoff Total, Local Area,WARN Date,Layoff Date(s),Temp Layoffs,Perm Layoffs,Furloughs,Reason for Layoff,WARN Letter,Occupations,,,,
Keystone Resort,72,11,Rural Resort,5/4/2020,Not available,11,,,COVID - Temporary ,Keystone Resort,Not Disclosed; 11 ADDITIONAL TOTALING 158,,,,
Keystone Resort-Update,72,147,Rural Consortium,4/6/2020,4/6/20,147,,,COVID-19- Temporary Closure,Keystone Resort,Unspecified ,,,,
KFC-PHX,72,16,Denver DIA,3/27/2020,3/29/20,16,,,COVID-19 - Temporary Closure,KFC,undisclosed,,,,
Kimpton Hotel Born,72,125,Denver,7/1/2020,7/1/20,125,,,COIVID-19 Temporary,Kimpton,Undisclosed,,,,
Kimpton Hotel Monaco Denver,72,145,Denver,6/21/2020,6/21/2020,145,,,COVID - Temporary ,Kimpton Hotel Monaco Denver,Not disclosed,,,,
Laurel Manor Care Center,62,77,Pikes Peak,8/27/2020,11/11/20,,77,,Closure-Perm,Laurel Manor Care,Various (See WARN),,,,
LeMeridian Denver - Update,72,59,Denver,8/28/2020,8/31/20,,59,,COVID - Permanent,Le Meridian,Various (See WARN),,,,
LeMeridien Denver - Update,72,111,Denver,7/2/2020,7/2/20,111,,,COVID-19 - Temporary Layoffs Extension,LeMeridien Denver,"Various: Servers, Cooks, Auditors, Marketing, Front Desk, Hostess, Phone Attendent, bartenders and more.; : 73-extended furlough, 50% Hr Reduction: 25, Perm Layoff- 13",,,,
Liberty Oilfield Services,54,183,Adams,4/2/2020,4/2/20,183,,,COVID-19 - Temporary Closure,Liberty Oilfield,Various: Request WARN for detail.,,,,
Liberty Oilfield Services,54,153,Adams,4/27/2020,4/27/20,,153,,Permanent,Liberty Oilfield Services,Not Disclosed,,,,
LSG Group/Sky Chefs,72,94,Denver,8/28/2019,,,94,,COVID -19 Permanent,LSG Group,"Food equipment handlers, food preparers, supply clerks and others (See WARN)",,,,196
"Luckys Markets, Luckys Cafe, Lucky's Bakehouse Creamery",72,300,Boulder  ,1/23/2020,3/24/20- 4/7/20 in phases,,300,,Closure-Perm,Boulder,Various: Request WARN for detail.,,,,6
Mariott Denver Tech Center ,72,196,Denver,3/30/2020,3/17/20,196,,,COVID-19 Temporary Closure,Denver Marriott Tech Ctr,Variety of postions - Request WARN for detail,,,,
Marriott Colorado Springs,72,101,Pikes Peak,4/3/2020,3/16/20,101,,,COVID-19 - Temporary Closure,Marriott CS,"Various: Restaurant, Banaquets, Kitchen Front Office, Housekeeping, Laundry Admin, sales & catering positions",,,,
Marriott Denver South - Update,72,55,Arapahoe/Doughlas,7/2/2020,7/2/20,55,,,"COVID-19 - Permanent, Temporary",Marriott Denver South Update,"Various: Servers, Managers, Dishwashers, Auditors, Bartenders, Chefs, HR Managers, Public Area Attendants and more; 55   (17- Permant layoffs, 1- 50% hr reduction, 37-Extended furloughs",,,,
Marriott Denver West ,72,61,Jefferson,8/28/2020,10/30/20,,61,,COVID - Permanent,Marriott Denver West,Various (See WARN),,,,
Marriott DTC,72,184,Arapahoe/Douglas,6/18/2020,5/1/2020 - 5/17/2020,,184,,Mass Layoff- Permanent,Marriott DTC (Update),Variety of postions - Request WARN for detail,,,,
Marriott Westminster - Update,72,45,Adams,7/2/2020,7/2/20,,45,,COVID-19 - Permanent & Temporary,Marriott Westminster,"Various: Host/Cashier, Front Desk, Sous Chef, Attendants, Catering, Cooks, Audio Visual Supervisor, Sales and others: 45 (4- Permanent, 1-50% hr reduction, 40-Extended furlough",,,,
Maven Hotel at Dairy Block,72,97,Denver,3/27/2020,3/27/20,97,,,COVID-19 - Temporary Closure,Maven Hotel,"Wait staff, bartenders, parking attendants, cooks, front desk, baristas, bellmen, room attendants",,,,
Maven Hotel at Dairy Block - Update,72,73,Denver,5/15/2020,6/16/20,73,,,COVID-19 Temporary ,Maven,"Various: Dir Sales, Lounge Services, Bartender, Line Cooks, Houskeeping, Managers and others; 84 REINSTATED, 73 LAID OFF",,,,
Menzies Aviation,48,232,Denver,9/10/2020,11/9/20,,232,,COVID 19 - Permanent Closure,Menzies Aviation,"Ramp agents, mechanics, duty managers, ops agents, supervisors and others",,,,
Mercedes-Benz of Little (European Motorcars of Littleton),44,61,Arapahoe/Douglas,4/1/2020,"3/20/20, 3/24/20, & 3/26/20",61,,,COVID-19 - Temporary Closure,Mercedes of Littleton,"sales, parts advisor, service advisor, finance, videographer, detailer, administrative & others",,,,
MetroLux 14 Theaters/MetroLux Dine-In/Metro Rocky Mountain Cinemas,51,120,Larimer,3/20/2020,3/21/20,120,,,COVID-19 /Temporary Closure,Metrolux 14,11 furlough,,,,
Mike Shaw Chrysler Dodge Jeep Ram,44,42,Weld,4/3/2020,4/3/20,42,,,COVID-19 - Temporary Closure,Mike Shaw,Unspecified ,,,,
Mile High Honda/Acura (Braman Colorado Imports),44,63,Denver,4/1/2020,"3/24/20, 3/26/20 & 3/30/20",63,,,COVID-19 - Temporary Closure,Mile High Honda,"sales, lot tech, controller, drive attendant, lube tech, parts runner & counter, shuttle driver, service advisor, wholesale parts",,,,
"Mining Exchange, a Wyndham Grand Hotel",72,76,Pikes Peak,9/10/2020,9/10/20,30,46,,"COVID 19 - 46 permanent, 30 temporary","Mining Exchange, WyndhamGrand Hotel ","Dishwasher, line cook, restaurant server, engineer, chef, front desk agent, houskeeping, valet, concierge, dishwasher, nail technician, reservations agent, sales manager, massage therapists and others; 46 permanent, 30 temporary",,,,
"Modern Mexican of Denver, LLC dba La Sandia",72,35,Denver,3/17/2020,3/17/20,35,,,COVID-19/Temporary Closure,La Sandia,"servers, bussers, runners, bartenders, cooks hosts janitors",,,,
Molson Coors (Update),31,196,Denver,1/15/2020,12/31/19 (for 265) Not specified for 191,,196,,Closure,,Various: Request WARN for detail.,,,,169
Mountain States Rosen,44,222,Weld ,6/11/2020,8/11/2020,,222,,Closure - Permanent,Mountain States Rosen (Redacted),Various: Request WARN for detail.,,,,
Nordstrom,45,167,Broomfield,5/11/2020,6/21/20,,167,,Closure - Permanent,Nordstrom,"Various: Administration, Cash Room, Logistics Processor, Salespeople, Manager, Merchandiser and more",,,,
North Colorado Springs Health & Fitness,71,107,Pikes Peak,3/31/2020,3/31/20,,,107,Furlough,North Co Springs Health & Fitness,"Managers, Trainers, Front Desk, Member Sales, Instuctors",,,,
Oakwood Worldwide (US) LP (Update to  12/30/19 WARN),54,6,Denver,1/28/2020,3/30/20,,6,,Mass Layoff-Perm,Oakwood Worldwide,"Various: Admin Assistant (1) Housekeeper  (4), Inventory Specialist (1) ",,,,164
Outrigger Marketing,72,11,Arapahoe/Douglas,4/1/2020,4/3/20,11,,,COVID-19 Temporary Closure,Outrigger,Not disclosed,,,,
Oxford Hotel,72,186,Denver,3/27/2020,3/27/20,186,,,COVID-19 - Temporary Closure,Oxford Hotel,"Wait staff, bartenders, parking attendants, cooks, front desk, baristas, bellmen, room attendants",,,,
Pac-12,51,4,Boulder,4/3/2020,4/6/20-5/23/20,4,,,COVID-19- Temporary Closure,Pac-12,Free lance writers; 531 total and 4 in Colorado,,,,
Paper Source,32,12,Denver,3/27/2020,3/29/20,12,,,COVID -19 - Temporary Closure,Paper Source Denver,Variety of postions - Request WARN for detail,,,,
Paper Source,32,6,Arapahoe/Douglas,3/27/2020,3/29/20,6,,,COVID-19 Temporary Closure,Paper Source AD,Variety of positions - Request WARN for detail,,,,
Paper Source,32,13,Pikes Peak,3/27/2020,3/29/20,13,,,COVID-19 Temporary Closure,Paper Source Pikes Peak,Variety of positions - Request WARN for detail,,,,
Pappas Restaurants,72,145,Arapahoe/Douglas,3/25/2020,3/22/20,145,,,COVID-19-Temporary Closure,Pappas,"Bartenders, Bussers, Cooks, Dishwashers, Hosts, Managers, Office Admin, Servers, Service Tech, to Go Server",,,,
Paradies Lagardere,72,97,Denver,7/2/2020,7/2/20,,,,COVID Temporary,Paradies Lagardere,"Managers, baristas, bartenders, cashiers, cooks, crew members, HR Associates",,,,
Park Hyatt Beaver Creek Hotel,72,109,Rural,5/30/2020,3/22/20,,,109,Furloughs and Hour Reductions,Park Hyatt Beaver Creek Hotel,"Various: Supervisor Servers, Cooks, Stewards, Valet -Car, Steward, Beverageand more; 109: 7 PERMANENT AND 102 FURLOUGHED",,,,
PF Chang Aurora,72,75,ADW,9/17/2020,9/17/20,,,75,"COVID 19 Reduced Hours, temporary",PF Chang Aurora,Not Specified; 75 TOTAL ALL LOCATIONS,,,,
PF Chang Broomfield,72, ,Broomfield,9/17/2020,9/17/20,,,0,"COVID 19 Reduced Hours, temporary",PF Chang Broomfield,Not Specified,,,,
PF Chang Colo Springs,72, ,Pikes Peak,9/17/2020,9/17/20,,,0,"COVID 19 Reduced Hours, temporary",PF Chang Colo Springs,Not Specified,,,,
PF Chang Denver,72, ,Denver,9/17/20,9/17/20,,,0,"COVID 19 Reduced Hours, temporary",PF Chang Denver,Not Specified,,,,
PF Chang Lakewood,72, ,Jefferson,9/17/20,9/17/20,,,0,"COVID 19 Reduced Hours, temporary",PF Chang Lakewood,Not Specified,,,,
PF Chang Lone Tree,72, ,ADW,9/17/20,9/17/20,,,0,"COVID 19 Reduced Hours, temporary",PF Chang Lone Tree,Not Specified,,,,
PF Chang Loveland,72, ,Larimer,9/17/2020,9/17/20,,,0,"COVID 19 Reduced Hours, temporary",,Not Specified,,,,
Plexus Corporation,33,104,Boulder (Louisville),1/22/2020,3/22/20,,104,,Closure-Perm,Plexus,"Various: Engineers (Analog, Digital, Mechanical, Product & Quality), Project Managers, and Management/Administrative.",,,,77
Premier Entertainment,71, ,Not Disclosed,7/27/2020,9/30/20,0,,,COVID Temporary,Premier Entertainment,Not disclosed,,,,
Prestige Imports (Braman Colorado European Imports),44,45,Jefferson,4/1/2020,"3/23/20, 3/24/20, & 3/26/20",45,,,COVID-19- Temporary Closure,Prestige Imp.,"sales, lot techs, detailers, Reps, body shop, part sales, porters service advisor, AP, and AR positions",,,,
Prestige Maintenance,56,76,Various,3/25/2020,3/19/20-4/1/20,76,,,COVID-19 Temporary Closure,Prestige Maint,Various,,,,
Prospect Airport Services,48,145,Denver,4/8/2020,4/8/20,,,145,Furlough,Prospect,"Various: skycap, passenger service assistant, dispatcher, recruiter, supervisor, baggage handler",,,,
Punch Bowl Socal,72,81,Denver,3/20/2020,3/16/20,81,,,COVID-19/Temporary Closure ,Punch Bowl Social,"Various: dishwasher, admin, food runners, prep cook, servers, hosts, line cook, bartenders, barbacks",,,,
Que Bueno,72,24,Denver DIA,3/26/2020,3/29/20,24,,,COVID-19 - Temporary Closure,Que Bueno,undisclosed,,,,
Raytheon Intelligence & Space,33,144,Colorado Springs,12/3/2020,2/5/21,,144,,Lost contract,Raytheon Intelligence and Space,Various (See WARN),,,,
Renaissance Hotel Denver Downton,72,111,Denver,4/2/2020,3/13/20,111,,,COVID-19 - Temporary Closure,Renaissance,Various: Request WARN for detail.,,,,
Root Down,72,121,Denver DIA,3/26/2020,3/29/20,121,,,COVID-19 - Temporary Closure,Root Down,undisclosed,,,,
"RS of Denver, dba Tamayo",72,66,Denver,3/17/2020,3/17/20,66,,,COVID-19 /Temporary Closure,Tamayo,"servers, bussers, runners, bartenders, cooks hosts janitors",,,,
Russell Stover Chocolates ,44,217,Rural - Western Sub-Area,5/19/2020,7/24/20 & 8/28/20,,217,,Closure - Permanent,Russell Stover,"Various: Candymakers, Leads, Packers, Service Utility, Management, Machine Operators, Technicians and others.",,,,
S4 Inc.,56,77,Pikes Peak,1/26/2020,Downsize 1/26/20,,77,,Loss of Contract,S4,Various: IT positions,,,,82
Sage Hospitality Group,72,48,Denver,4/1/2020,3/17/20,48,,,COVID-19 Temporary Closure,Sage Hospitality,Variety of positions - Request WARN for detail,,,,
Sara Lee,72,27,Denver DIA,3/26/2020,3/29,27,,,COVID-19 - Temporary Closure,Sara Lee,undisclosed,,,,
Septodont Inc.,32,80,Boulder,3/27/2020,6/26/20 & 12/29/20,,80,, Closure,Septodont,"production, finance, IT supply chain, warehouse, maintenance, engineering, quality control, quality assurance & admin",,,,
Shamrock Foods ,42,134,Adams,4/1/2020,,134,,,COVID-19 Temporary Closure,Shamrock Denver,Not disclosed,,,,
Shamrock Foods ,42,11,Denver,4/1/2020,4/1/20-4/30/20 for hourly workers and May 2020 for salaried associates,11,,,COVID-19 Temporary Closure,Shamrock Commerce C,Not disclosed,,,,
Sheraton Denver Downtown,72,414,Denver,6/4/2020,3/21/20,414,,,"Temporary furloughs & layoffs, recuction in hours",Sheraton Denver Downtown,"Various: Servers, Cooks, Stewards, Event Manger, Front Desk, Housekeeping, Purchasing, Maintenance & more",,,,
Sheraton Denver Tech,72,75,Arapahoe/Douglas,5/7/2020,"5/9/20 & 5/14/20, 5/15/20",,75,,Mass Layoff - Permanent,Sheraton Denver Tech,"Various: Food Attendant, Room Attendant, Housekeepers, Front Desk Agent and more",,,,
Sheraton Denver Tech,72,75,Arapahoe/Douglas,5/7/2020,5/7/20,,75,,Mass Layoff - Permanent,Sheraton Denver Tech,"Various: Banquet Servers & Setup, Accounting Clerk, Engineer, Barista, Event Sales, Front Desk and others",,,,
Sodexo (at University of Denver),42,98,Denver,11/6/2020,3/20/20-2/28/21,98,,,COVID - Temporary ,Sodexo,"Baker, Cashier, food service workers, cooks, supervisors and more (See WARN for complete list.)",,,,
"Sodexo, Inc. /United Denver Clubs ",42,248,Denver,4/28/2020,4/30/20,,,248,Furlough,"Sodexo, Inc.",Not Disclosed,,,,
Sonder USA,53,79,Adams,3/24/2020,3/24/20,,79,,Permanent Closure,Sonder ,"Various: AR & AP Specialists, team leads, inbound sales, operations, recruiting coordinator, safety specialist, guest experinece team shift lead",,,,
Source Hotel,72,20,Denver,7/28/2020,7/28/20,20,,,COVID Temporay,Source Hotel,"Bartenders, Servers, Line Cooks, Kitchen Management, Engineering, Housekeeper, Front Desk Agent, Valet",,,,
"Southern Foods Group, LLC dba Dean Foods",42,82,Weld,2/17/2020,3/13/20 through 4/24/20,,82, ,Unforseen Business Circumstance -Perm,Southern Food,"Various: Filler Operators, Delivery Drivers, Maintenance Mechanics, Product Puller. Request WARN for complete list.",,,,0
Southwest Airlines,48,1,Denver,11/6/2020,1/11/21,,1,,COVID-Permanent,Southwest Airlines,Material Specialist,,,,
Southwest Airlines,48,4,Denver,11/18/2020,1/25/21,,,4,COVID Furloughs (temporary),Southwest AIrlines,Ground Service Equipment Technicians,,,,
Southwest Airlines,48,556,Denver,12/3/20,3/15/21,,,556,Furloughs,Southwest Airlines,"First officer, flight attendant, customer service agent, provisioning agent, ramp agent",,,,
Southwest Airlines (Union Contact Correction),48,0,Denver,11/30/20,N/A,,,0,Correction to Union Contact,Southwest Union Correction,N/A,,,,
Southwest Airlines Update ,48,0,Denver,1/8/2021,N/A,,,0,Recinded Layoffs due to PPP availability,Southwest Airlilnes 1-8-20,"First officer, flight attendant, customer service agent, provisioning agent, ramp agent",,,,
Spire Hospitality,72,113,Multiple: Denver and Pikes Peak,6/26/2020,07/01/2020,,113,,Mass Layoff- Permanent,Spire Hospitality ,"Various: Cooks, Laundry, Managers, Banquet Servers and others",,,,
SSV Vail Mountain,72,59,Rural Resort,5/4/2020,Not available,59,,,COVID - Temporary ,SSV Vail Mtn,Not Disclosed,,,,
St Julien,72,208,Boulder,7/3/2020,7/3/20,208,,,COVID - furloughs to temporary layoffs,St Julien,"Various: massage therapists, banquet servers, cooks, house attendants, lobby and room attendants, spa concierge and stewards",,,,
St. Regis Aspen Resort,72,263,Rural Resort,6/2/2020,3/21/20,,,263,furloughs and Hour Reductions,St. Regis Aspen,"Various: Spa Attendents, Conciere, cooks, management, engineers, Esthestician, Groundskeepers and more.",,,,
"Startek, Inc.",56,371,Grand Junction (Mesa),3/9/2020,5/31/20,,371,,Downsize/Closure,Startek,"Various: Account Support Representatives, Customer Care Reps, Engagement Coaches & Mgrs, HR professionals, Trainers",,,,
Stellar Partners,45,13,Denver,8/13/2020,10/15/20,,13,,COVID - Permanent,Stellar Partners,Various: Sales associates and supervisor,,,,
Stevinson Chevrolet West,44,33,Jefferson (Lakewood),3/28/2020,3/30/20,33,,,COVID-19 Temporary Closure,Stevinson Chevrolet West,Variety of positions - Request WARN for detail,,,,
Stevinson Imports Inc.,44,32,Arapahoe/Douglas,3/28/2020,3/30/20,32,,,COVID-19 Temporary Closure,Stevinson Imports,Variety of positions - Request WARN for detail,,,,
Stevinson Lexus of Frederick,44,34,Weld,3/28/2020,3/30/20,34,,,COVID-19 Temporary Closure,Stevison Lexus of Frederick,Variety of positions - Request WARN for detail,,,,
Stevinson Lexus of Lakewood,44,71,Jefferson (Golden),3/28/2020,3/30/20,71,,,COVID-19 Temporary Closure,Stevinson of Lakewood,Variety of positions - Request WARN for detail,,,,
Stevinson Toyota East,44,73,Arapahoe/Douglas,3/28/2020,3/30/20,73,,,COVID-19 Temporary Closure,Stevinson Toyota East,Variety of positions - Request WARN for detail,,,,
Stevinson Toyota West,44,93,Jefferson (Lakewood),3/28/2020,3/30/20,93,,,COVID-19 Temporary Closure,Stevinson Toyota West,Variety of positions - Request WARN for detail,,,,
Suitsupply,44,14,Denver,3/26/2020,3/26/20,,,14,Furlough,Suitsupply,"Various: Tailor, sales support, sales professional, sales supervisor, custom made specialist, store manager",,,,
Sunrise Medical LLC,62,23,Boulder,4/10/2020,4/13/20,,,23,Furlough,Sunrise,Not Disclosed,,,,
Swissport,48,37,Denver,7/31/2020,5/29/20,37,,,COVID Temporary,Swissport,"passenger services, ramp agent, deicer",,,,
Tacos of Snowmass dba Venga Venga,72,88,Rural Resort,3/17/2020,3/17/20,88,,,COVID-19 /Temporary Closure,Venga Venga,"servers, bussers, runners, bartenders, cooks hosts janitors",,,,
The Broadmoor,72,"1,411",Pikes Peak,3/31/2020,3/29/20,1411,,,COVID-19 Temporary Closure,Broadmoor,Variety of positions - Request WARN for detail,,,,
The Jacquard Hotel & Rooftop - Update,72,102,Denver,4/2/2020,3/13/20,102,,,COVID-19 - Temporary Closure,Jacquard,Various: Request WARN for detail.,,,,
The Lodge at Vail,72,89,Rural Consortium,4/6/2020,4/6/20,89,,,COVID-19 - Temporary Closure,Lodge at Vail,Unspecified ,,,,
The Lodge at Vail (revision increased by 1 to 90),72,1,Rural Resort,4/20/2020,4/6/20,,,1,Furlough,The Lodge at Vail Revised,Not Disclosed,,,,
The Lodge at Vail-Update,72,12,Rural Resort,5/4/2020,Not available,12,,,COVID - Temporary ,The Lodge at Vail,Not Disclosed; 12 ADDITIONAL TOTALING 101,,,,
The Ritz Carlton Bachelor Gulch,72,240,Rural ,6/4/2020,3/21/20,,,240,"Temporary furloughs & layoffs, recuction in hours",Ritz Carton Bachelor Gulch,"Various: Servers, Cooks, Stewards, Event Manger, Front Desk, Housekeeping, Purchasing, Maintenance & more",,,,
The Ritz Carlton Denver,72,232,Denver,6/5/2020,3/21/20,,,232,"Temporary furloughs & layoffs, recuction in hours",Ritz Carlton Denver,"Various: Servers, Cooks, Stewards, Event Manger, Front Desk, Housekeeping, Purchasing, Maintenance & more",,,,
The Westin Denver Downtown ,72,155,Denver,6/2/2020,3/21/20,,,155,Furloughs & Reduction in Hours,The Westin,"Various: Housekeepers, Runners, Servers, Cookes, Captains, Auditors, Bartenders, Attendants and more",,,,
The Westin Denver Downtown - Update,72,61,Denver,8/27/2020,10/30/20,,61,,COVID - Permanent,The Westin Denver Downtown,"Various: Captain, servers, housekeepers, runners, cooks, bartender, cooks and more",,,,
The Westin Denver International Airport,72,222,Denver,5/28/2020,3/21/20,222,,,"Temporary furloughs & layoffs, recuction in hours",Westin DIA,"Various: Servers, Cooks, Stewards, Event Manger, Front Desk, Housekeeping, Purchasing, Maintenance & more",,,,
The Westin Snowmass Resort-Wildwood,72,129,Rural Consortium,5/26/2020,5/26/20,129,,,COVID-19 - Temporary Closure,Westin Snowmass,"Various: Spa Therapist, Banquet Servers, Sales, Managers, Food Servers, Banquet Captain and Setup, Luggage Attendendent",,,,
The Westin Westminster,72,60,Adams,6/1/2020,6/2/20,60,,,COVID-19 - Temporary Closure,Westin Westminster,"Various: Banquet Servers, Cooks, Room Service, Banquet Setup, Managers, Houskeeping Front Desk Agent",,,,
Timberline Steaks and Grill,72,116,Denver DIA,3/26/2020,3/29/20,116,,,COVID-19 - Temporary Closure,Timberline Steaks & Grill,undisclosed,,,,
Town of Nederland,92,3,Boulder,3/27/2020,3/27/20,,,3,Furlough,Nederland,66 +14,,,,
TSA Trans States Airlines,48,329,Denver,3/19/2020,3/17/20 - 4/2/20,329,,,COVID-19/Temporary Closure,Trans States Airlines,Undisclosed,,,,
Uncle Julio's Hacienda,72,75,Jefferson,3/19/2020,3/19/20,,,75,Furlough,Uncle Julio's,"Various: Cooks, Servers, trainers, bussers, hosts, dishwashers",,,,
United Airlines,48,"2,820",Denver,7/8/2020,10/1/20,2850,,,COVID-19 Temporary RIF,United,Not Disclosed,,,,
United Airlines - Update 1,48,75,Denver,7/30/2020,10/1/20,,75,,COVID Permanent,United Airlines Update,Not disclosed; 75 ADDITIONAL EMPLOYEES,,,,
United Airlines- Updated,48,53,Denver,8/31/2020,10/30/20 & 11/30/20,,,53,COVID 19 Extended Furlough,United Airlines Update,Not specified,,,,
Upserve,73,12,Denver,6/25/2020,06/25/2020,,,12,Furlough,Upserve,"Various: Account Manager, Customer Success Manager, Customer Support Specalist and others",,,,
Vail Beaver Creek Resort Properties,72,79,Rural Consortium,4/6/2020,4/6/20,79,,,COVID-19 - Temporary Closure,Vail Beaver Creek,Unspecified ,,,,
Vail Marriott Mountain Resort,72,250,Rural Consortium,4/6/2020,4/6/20,250,,,COVID-19 - Temporary Closure,Vail Marriott,Unspecified ,,,,
Vail Mountain,72,204,Rural Consortium,4/6/2020,4/6/20,204,,,COVID-19 - Temporary Closure,Vail Mtn,Unspecified ,,,,
Vail Mountain - Update,72,4,Rural Resort,5/4/2020,Not available,4,,,COVID - Temporary ,Vail Mtn,Not Disclosed; 4 ADDITIONAL TOTALING  208,,,,
Vail/Beaver Creek Resort Properties - Update,72,4,Rural Resort,5/4/2020,Not available,4,,,COVID - Temporary ,Vail-Beaver Creek,Not Disclosed; 4 ADDITIONAL TOTALING 83,,,,
"Vestas Blades America, Inc.",31,185,Adams,11/17/2020,1/17/21,,185,,RIF - Permanent,Vestas Blades America,Not stated,,,,
W Aspen,72,124,Rural,6/4/2020,3/21/20,,,124,"Temporary furloughs & layoffs, recuction in hours",W. Aspen,"Various: Servers, Cooks, Operations, Sous chef, Front Desk, Housekeeping, Purchasing, and more.",,,,
Warwick Denver Hotel,72,64,Denver,4/27/2020,4/27/20,,,64,Furlough,Warwick Denver Hotel,"Cooks, Agents, Housekeeping, Bellmen, Cooks, Engineers, Dishwashers",,,,
Welk Resorts,72,39,Rural Resort,3/20/2020,3/20/20,39,,,COVID-19 Temporary Closure,,Variety of positions - Request WARN for detail,,,,
"Western Forge, Inc.",33,164,Pikes Peak (Colo Springs),2/21/2020,"4/30/20, 5/29/20 and 7/31/20",,164,,Closures: Multiple locations-Perm,Western Forge,Unknown- Have requested information from Company,,,,
Wildhorse 6 Stadium Cinemas/Metro Rocky Mtn Cinemas,51,21,Rural Resort,3/20/2020,3/21/20,21,,,COVID-19 /Temporary Closure,Wildhorse,2 on furlough,,,,
World Remit,52,64,Denver,7/14/2020,"9/14/20- 54 employees; 10/31/20, 9 employees, 1-31-2021 - 1 employee",,64,,Permanent - Not COVID related,World Remit,Customer Services positions,,,,
Wyndam Hotels & Resorts-Cheyenne Mountain Resort,72,65,Pikes Peak,7/28/2020,7/28/20,65,,,COVID - Extension of temporary layoffs,Wyndham Cheyenne Mountain Resort,"Various:  serversattendants, cooks, housepersons, massage therapist and others",,,,
XPO Logistics Supply Chain/Jacobson Warehouse Company (Revised),48,169,Jefferson (Golden),1/20/2020,3/20/20,,169,,Loss of Contract with MillerCoors,,"Various: Driver CDLs, PIT Operators, Transportation Specialists, RR Conductors, and others",,,,300
XPO Logistics/Jacobson Warehouse Company  ,48,169,Jefferson (Golden),1/15/2020,3/20/20,,0,,Correction: Loss of Contract with MillerCoors,XPO,"Various: Drivers, Conductors, Operators, Management",,,,104
Zahn Dental,33,54,Jefferson (Golden),1/7/2020,3/9/2020,,54,,Reorganization and relocation,Zahn Dental,"Various: Customer Care, CAD Scanners, Finishing Technicians, Machine Operators, Finishing Technicians & others",,,,196
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,6150,2099,2212,10461,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,, , ,,,,,,,
,,,,,,, , ,,,,,,,
,,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,14095,,,,,,,,,
